"","스트리머","스트레이.키즈","인터넷방송","국내야구","수능","겨울왕국","리그.오브.레전드","만화","기타.국내.드라마","엘소드"
"31","루사만 유찰될거같은데 너무 슬픈데;;","[2차][무소속]신곡스밍인증 왔어요<U+2764> ","오늘부로 인방갤 버린다 좆도 트위치한테 개쳐발리는 병신들 리젠보소 ㅋㅋ","참치야 ","이투스247vs잇올 어디가 남?","용아맥 입갤~","렝가로 모데 어케이김?","진짜 정신나간년이네 야마다","ㅋㅋㅋㅋㅋㅋㅋㅋ 창녀보고 성매매 아니래","인투디언노우 3시간째 듣는중"
"32","자낳대 3시즌 룩삼팀은 진짜.. 보기힘들정도였으니","[2차][강민희(스타쉽)마갤]<U+2618>+신곡축하<U+2618>+나들이왔민희","엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ싸우기시작한다ㅋㅋㅋㅋㅋㅋ","김건모 피해자 실체","노란색이 반고닉임?","끄덕 짤","새해소원 빕니다","일본은 왜 학교에서 얘들 처먹는거 간섭하냐","이비쥬얼에 목소리가 아이유 윤아급만 됐어도","뭐야트리어디서얻어요"
"33","호산이가 그냥 룩돌리 데려가야 남은팀이 재밌어짐","[2차][이진혁마갤] <U+2600>I Like That<U+2600> 신곡 축하 왔지녁<U+270C>(설쉬)","핑구님.fact","김봉길 역겨운게 어디 마갤에서 썩은굴 줃어온뒤로 야갤안하더만..","인싸북 키면 설머 합격 올라오는거 좃갓네","대관ㅡ시!","양말 손들어봐라","좆사람 결국 15분도 못가고 싹사라졌노 ㅋㅋ","김수현 밀랍인형들","서울우유통직 3200 4억 ㅍ"
"34","야 소우릎 너무 성급하게 팀 뽑은거 아니냐?","[2차][김사무엘갤]<U+2763>Samuel TV<U+2763><U+2B50>신곡축하<U+2B50>왔어요<U+2728>설X","앵지 또 휴방각 잡는다 감기몸살 심해지는 중","크리스마스 이벤트 여친 여성시대 반응..jpg","설의합격 너무 올라오는데 합격사진하나로 여러개","본인이 프갤하면서 제일패고싶었던고닉...jpg","크리스마스에 양말은 초중딩때까지 아님?","요새번역본들 왜이럼?","59.7 놀래는거 첨봄 ㅋㅋ","나달렸냐?"
"35","스페이스 논개 좋노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][이은상마갤]<U+2764>Baby my <U+2728>신곡축하<U+2728>너에게 달려<U+2764>(설X)","죽일까말까 죽일까말까 빵빵빵빵 칼빵 칼빵","골든글러브  논란 떳다.....JPG","아침안먹고 점심저녁만 먹는사람?","서면 아이맥스도 좋아","fuck you","오늘의 내마위도 최고였다 ㄹㅇ","오늘자 가세연 조회수 ㅋㅋㅋ","헐 3-2도 노첸임존이 더 잘나오는구나"
"36","진지하게 한동숙 500 가능한 거 아니냐?","[스밍][강미나갤] <U+2764>미나가 신곡 축하왔다게<U+2764>(설X)","덮칠까말까 덮을까말까ㅋㅋㅋ","어이 안유진리 공부안하냐? ㅡㅡ","지민이 진짜 존나 예쁘네; 남친 있다고?","겨왕2 자막으로 보는게 재밌냐 더빙으로 보는게 재밌냐","양말 트리가 먼데","남자도 립밤 같은거 바름?","근데 알고보니 피해자가 존못이야","응 난 좃밥들랑은 다르죠 트리떤냐???"
"37","일단한동숙은 폭탄피했네 ㅋㅋㅋ호산이팀개폭탄ㅋㅋㅋㅋ","[스밍][강미나갤] <U+2764>미나가 신곡 축하왔다게<U+2764>(설X)","룩삼 유찰 씨발ㅋㅋㅋㅋㅋㅋ만2천명으로 떡상ㅋㅋ","근데 왜 닉 뒤에 dcㄹㅇ 없어졌냐 ㅡㅡ","수험생 밥값 만원어떄 하루","우리 프붕이들 겜 할 때 욕먹지 말라고 주는 꿀팁","지금 트리랑 양말갖고 난리난것도 개좆슼갈때문 맞지???","던전앤파이터 계정 해킹당했나?","美 제재 비웃듯…렉서스 끌고 나타난 김정은 ","새해복많이받으세요"
"38","선호산 리치킹 on ","[2차][김우석마갤]<U+26A1>FLASH<U+26A1>우석이가 신곡 축하왔석 <U+2764>+(설x)맬룐","봉퀴들은 왜 이런사진에도 ㅂㄷ거릴까","인싸컨셉 잡을거면 블지님처럼 좀 전문적으로 하지 ㄹㅇ","머리 안자른지 2달됬더니","짤","멍청이들 ㅎㅇ ㅋㅋ","원룸용사 귀신 용사동료 맞음?","피해자 엄청 갸냘프고 여리여리하단다","닉옆에트리나양말달린놈:븅"
"39","호산이 ㄹㅇ 폭탄처리반 ㅋㅋㅋㅋㅋ","[2차][김민규(젤피)마갤]신곡축하왔밍<U+2763>(설x)바2","최군 세제로..gif","크리스마스 정액양..jpg","아니 눈두덩이 살많냐닌깐 왜 암도답없음","념글 넥라띵 분석글 보고 통곡함ㅇㅇ","피들스틱 좋음?","노아 실사판.","오늘자 채널에이 뉴스 오프닝","오염 너만 오면 고"
"40","왜냐맨 존나 어이없네 ㅋㅋ깽판쳐놓고 한동숙데려가려고 ??","[2차][사우스클럽갤]보은을<U+270C>두번<U+270C>느끼게 찾아온 신곡 축하<U+2763>설X","아... 박와드 ㅈㄴ빵터졌네","어차피 26일까지 아님?","여기 수능 갤러리 아니냐","어디서 본 것 같은데","양말줘 ㅆㅂ","해리포터 재번역 일러스트판","근데 삽입후 2~3분이면  짧은거냐","크리스마스 근본은 트리지 ㅇㅇ"
"41","인섹만 ㅈ댄거 같은데ㅋㅋㅋㅋ","[2차][김국헌마갤] <U+269C>01/07 데뷔<U+269C> 국헌이가 신곡축하왔톢<U+26A1>7시","하콩이가 진짜 얼굴값 못하는듯 ㄹㅇ","겨울왕국 소감 올렸는데 왜 이런거냐","근데 지민이같은 상황에서 어케 반응하는게 최선?","아맥 포스터 주는이벤트 자체가끝났어","양말특)게이,  초록트리특)씹덕","이캐릭 이름좀","편의점 1만상품권 꽁이다","페팬 횐님들..공장 영상찍어주세"
"42","좆노잼 부장님 또보게생겼네 씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][김민규(젤피)마갤] 신곡축하왔밍<U+2763>(설x)바1","옮길까 말까 옮길까 말까","닉 이모지 되는거 안되는거 기준이 머야?? ㄹㅇ","지거국에 변호사 보장해주는 과 만들면","유식이 갤러콘 유료 앨산나 햇음 떼돈 벌엇을텐데","옛날 ESC Ever의 아테나가 세체미 아닐까?","샤이 다음화 한국형 히어로 예고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","유튜브서 술집 종사자가 술집여자들이","애자리스트"
"43","칸 아니면 지수 노리네 ㅋㅋㅋ","[2차][김우석마갤]<U+26A1>FLASH<U+26A1>우석이가 신곡 축하왔석 <U+2764>+(설x)지ㄴㅣ","저여자 박고싶다 스페인여자","흐음...","임진왜란때 조선 먹혔으면","우리집앞 씨집 목욜부터 겨왕상영 안한다ㅠ","트리스타나 근본 = 트리","사람 음식 먹는 고양이.jpg","서예지가 니새끼 여주보다 청률 잘나옴","얘..들..아...........집가고싶다 ......"
"44","노잼팟 완성 ㅋㅋㅋ","[2차][이진우마갤]<U+2728>TEENTEEN<U+2728>진우가 신곡축하 <U+2764>책임져요<U+2764>(설쉬)","철구보고싶다 짱아치먹방할새끼가없다 하아 존나마렵네","비키니 풀파티","수시충들은 대학가려고 애미도 팔새끼들임ㅋㅋ","용산 cgv개쩜","롤망호 있니","내마위펀치! 내마위펀치!","남자들은 다 어리고 예쁜여자 좋아함?","<U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F>"
"45","선호산 방송은 좆됬노ㅋㅋㅋㅋㅋㅋㅋ","[2차][송민호갤]<U+2764>MINO<U+2B50>아낙네<U+2B50>똑똑축하왔소<U+2764>설×","왁할까 말까?","삶이 너무 힘드네...","오늘은 웃자","뮤지컬 영화가 역시 좋다","밴픽 한명당 2명까지 가능하면 너무 좆노잼이냐??","부키미 씨발새끼 성공했다고 좆리버리는거봐 개새끼","공유는 좋아하는데 입덕이 안돼","등악세 풍선하면 존버잘하는거같음. "
"46","노룩칸 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][무소속]2차 스밍왔습니다<U+2764>","서수길이 남순이 왜 방송 하자고 하는거여","호랑이가 믿는 보지털..jpg","진학사 6칸이면 뭐임?","프로즌갤러리왔으면 이글부터봐라...","왜 노란색 트리양말 안주냐?","요즘 왜 아마에사랑해~~~안함","손예진 들마 시작되면 욕먹을줄 알았더니 제발회부터 욕먹네","1234"
"47","왜냐맨 칸 지수 각 날카롭게 나왔다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][송민호갤]<U+2764>MINO<U+2B50>아낙네<U+2B50>똑똑축하왔소<U+2764>설×","아 스트리머갤 글 리젠봐라 1분에 4페이지네 인방갤 좆망갤","아빠한테 생동성알바 할거라고 말하니까 집에서 나가래","재수생 상근 떴는데 이거 손해임?","엘사 깜빵입갤 ㅋㅋㅋㄱㄱ","트리충들 풀냄새나니까 ㄲㅈ","만갤에서 내마위 빨때마다 느끼는건데","가세연 벌써 1만 ㄷㄷ","닉옆에저거어케달어?"
"48","호산아 노돌리 룩삼만 뽑으면 완성이다","[2차][김민규(젤피)마갤]신곡축하왔밍<U+2763>(설x)지2 ","(털) 뽑을까 말까 뽑을까 말까~","아몬드의 출처..gif","3수생이하만 볼수있는 글입니다.","용아맥k열 괜찮음?","초록트리 나도떳냐","벌벌떠는 여초딩.jpg","이민호 김고은은 잘고른거네  서예지비함","시발나방금 김치찌개먹다가 아직덜삭은 작은새우랑"
"49","호산팀 장난아닌데 그러면 ㅋㅋㅋ","[2차][김민규(젤피)마갤] 신곡축하왔밍<U+2763>(설x)지1","자지짱아찌 ㅋㅋㅋㅋㅋ슬기빠 한건했누","나도 크리스마스 이브때 없었을건데 ㄹㅇ","진학사 설대간호 4칸 불합인데","용아맥 포스터 언제쯤 동났음??","피즈 난이도 어떤편이야?","야 요즘  모바일 좆듬겜 머가 인기잇냐 ㅇㅇ??","여자가 부러워","오염 너만 오면 고"
"50","ㅅㅅㅅㅅㅅㅅㅅㅅㅅ","[2차][이진혁마갤]<U+2600>I Like That<U+2600>신곡 축하 왔지녁<U+270C>설쉬)바이브","박하 이쁘농","야듣노!!","오르비 놈들이 또 무고한 피해자를 만드는구나..ㅅㅂ","이건 또 뭐냐?","양말트리 갑자기 현타오네..","오늘 온 책인데스","입덕할배우가없다","뭔데 벌써 크리스마스 분위기냐"
"51","아 쌍베랑 칸 붙이지말지 ㅠ","[스밍][김재환마갤]<U+23F0>12/12 시간이 필요해<U+23F0>신곡축하왔재환<U+2763>(설x)특문","설마 서수길대표 요가복은 안입히겠지 ㅋㅋㅋ","나 글댓 비율 ㅍㅌㅊ??????? .jpg","난 떠날래","프뽕이 걸리는이유 노래다 라는 글보니깐","양말 = 홍대병걸린 아싸","이게 엉덩이다","남자연옌은 여자연옌 사겨서 욕정풀어라","<U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F><U+267F>"
"52","왜냐맨은 광대전형만노리내","[2차][한승우마갤]<U+00A0><U+2603>이브의 기적<U+2603><U+00A0>승우랑 신곡축하왔승우 (설x)!@#","생방 시청자 딸치는 ㅈ방갤형들 ㅋㅋㅋㅋㅋㅋㅋ","야갤은 눈사람단이 접수한다","지민아사랑해지민아사랑해지민아사랑해지민아사랑해지민아사랑해","d23 4원소 뱃지 산 갤러 있음?","롤계의 호날두는 누구냐","재밌는 보빔만화 추천좀","현빈 오늘 채팅한거좀봐 ㅋㅋㅋㅋ","계속듣다보니까 우웁거리는것도 커엽네"
"53","지수소녀가 어느정도가니 다 올인각 세우냐?","[2차][이의진마갤]<U+2728>Thinkin Bout You<U+2728>신곡축하<U+2763>(설x)¿","천삼님 오메킴 없이 데뷔했어도 300따리 시작같은데","라면 평좀(개밥이라할시 민형사 소송함).jpg","운전면허 필기 거의 상식선에서 맞출수잇는걸로나옴?","겨울왕국2 보고왔는데 엘사는 왜 남자 안생기냐","트루데미지에코 성우 진짜 매드클라운임??","야한 거 봤더니 쥬지액 나온다","솔직히 젖탱이에 10만원짜리수표 5장만꽂아줘도 빨아줬음","표식퀘안하고 겜껐는데 대신받아주실분"
"54","킹냐맨은 동수칸이야 ㅂㅅ아 뭔 지수 ㅋㅋㅋ","[2차][정승환갤 ]<U+2764>십이월이십오일의고백<U+2764>신곡 축하왔싕(설×)","별비는 좀 불쌍하다고봄.txt","눈사람머임","근데 이번 영어 역대급으로 쉽지 않았냐","엘사 고개 끄덕이는 짤 아무도 안줘서 슬프다","씨발 나무랑 양말 뭐냐","군것질 동정 getㅋㅋㅋㅋㅋㅋㅋ","텐프로가 고급업소라서 고위직들 정치인들 연예인들이 간다고하더라","<U+0001F469>"
"55","왜냐맨 칸-지수 노리는거?","[2차][블핑갤]♥KILL THIS LOVE♥LET'S 신곡스밍~<U+2763>설X ","박을까말까 박을까말까 앙앙앙앙","수육백반 하나 조지고올까","9급 공무원은 수능 5등급 쳐받고 졷잡대가서 할거없어서 하는거지?","용아맥하는 이유가있구나","초록트리 떳냐","선거개입 피의자 황운하, 벌써 '총선 올인'","가세연 시작했다","ㅋㅋ짭레 파티리스트로 갔는데 딜딸쳐하고있네"
"56","소우릎 왜냐맨은 딱 방송각만봤네","[2차][이진혁마갤] <U+2600>I Like That<U+2600> 신곡 축하 왔지녁<U+270C>(설쉬)","설리 젖밖에 볼게없어!!!","ㅗㅜㅑ ㅗㅜㅑ 야 짤 ㅃ림","수능본 지 한달 다 되어가는데. 한달 정말 짧지않냐","영통 mx 3회차 넘무좋앗당","노래 평가좀 해라","지령내려왔음?","저 피해자 얼굴 진짜 이쁠듯","닉넴옆에 트리머임??"
"57","룩우스 만따리 4분기 처음 아니냐?","골디 티켓팅 많이하자 ","옮을까 말까 옮을까 말까","캐나다에서 섹파의 의미..jpg","지민이 사건 뭔사건임??","캔들 커다란거밖에안써봤는데","트위치 존나약하긴함","시발 유동새끼들 단체로 나한테만 비추박기로 작정함?","김건모 좆밥은 떼고 빨아달라했냐?","우리 나쁜말은 하지않기로해요 자 따라해봅시다 욕하지안는다"
"58","gg ㅇㅈㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][블핑갤]♥KILL THIS LOVE♥LET'S 신곡스밍~<U+2763>설X ","간만에 염퀴 남견 하나되자 썩어색히 아웃","크리스마스특집으러 겨울왕국 보여줄려나 ㅋㅋㄹㅇ..","지민이 남친보고왔는데 얘도설대네","유튜브 보다가 일침맞았다","야들아 듀오나 자랭팀 어디서구함?","아 고닉표시 바꾸는거 생긴거구나","SBS, 4분기 실적개선 지속...배가본드 흥행","저는 오늘부터 유동입니다"
"59","룩삼혜요 캣타워하던 년놈들 둘이 최저가네 ㅋ","[2차][이진혁마갤]<U+2600>I Like That<U+2600>신곡 축하 왔지녁<U+270C>설쉬)벅스","최군은 방송에서 이것만 안해도 욕덜먹는다","시험 전날인데 방청소하니 뿌듯하네","'김지민'님, 주작러, 선넘은pdf 전부 따놨습니다.","프로즌갤러리 호감고닉 뽑아봤음....","머리 머리 머가리","요즘 칠대죄 이런 느낌임","죽으면 근데 편하긴 편하지?","ㅇㄱㅈㅊ 파줘 ㅅㅂ"
"60","쥐쥐 ㅋㅋㅋㅋ","[2차][김재환마갤]<U+23F0>12/12 시간이 필요해<U+23F0>신곡축하왔재환<U+2763>(설x)","박을까말까 박을까말까 ㅋㅋㅋㅋㅋㅋ","경기도 중에 조용하게 살만한 도시 어디냐?","알바 뭐하냐고 아시바","오늘 씨네샵에서 산것들","노오루","유입새끼들 갤로그마크에 뭐 박아주면 그저 좋다고","현빈 손예진 시청률 20퍼센트 공약","라소 오염파티 구함"
"61","소우릎팀은 ㅈ됐다","[2차][무소속] 신곡 축하드려요♡ (설쉬) ","서수길이 남순이랑 합방하는 이유 (이제 알았다)","요즘 제일 잘나가는 고닉이 누구임","수갤 끝장토론) 동의vs동아vs자살","트위터에서 2만 알티 탄 그림","이새끼 본썹 출시되면 너무 복잡할거같음","만붕이 립밤 없어짐ㅠㅠㅠㅠㅠ","박보영 싸이코 어울리는데.. 싸이코는 너무쎈 인상이 안좋긔","이모티콘으로 글목록 곱창내지마 짱깨새끼들아"
"62","동수칸 표정 점점ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][프로미스나인갤]<U+2763><U+2763>연검정화 부탁<U+2763><U+2763>신곡 축하왔어요<U+2764>(설쉬)","갑자기 똥퀴도배 거루도배 그딴짓거리 왜하냐 머가리빠개진련들","이게 젤 이쁜듯 ㅎㅎ","근데 우리나라 대학중에 학문적으로 가치잇는데가있음??","겨울왕국2 ost 앨범 나옴??","잉~ 기뭐리~","국어쌤에게 쥐어지는 합격목걸이","소시오패스가 의심되는 아이돌","화마랑 디센 따로 적용이란게 뭔뜻임?"
"63","와 노잼팀","[2차][무소속]컴백축하드립니다","썩을까말까 썩을까말까 썩썩썩썩 썩어 썩어ㅋㅋㅋㅋㅋㅋㅋ","꽁1만 야 5분도안걸려","한양기계 VS 연세산공","겨놩 어디서 하냐","짐준 장점이 뭐임?","내마위 빨리번역해줘","손예진은 모든 작품 제발회마다 저리 행복해보이더라","서버는 솔레스 길드는 오리진"
"64","처음 보는데 빤스만 입고 방송하노.jpg","[2차][블핑갤]♥KILL THIS LOVE♥LET'S 신곡스밍~<U+2763>설X ","고양이 추락장면 ㅠㅠ","야붕이 헬스장 레깅스녀 ㅁㅌㅊ?","갤러콘 제일 희귀한게 뭐임?","내가보기에 프뽕은 노래가 문제임","야 방금왓는데 니네 지금 머끼고있는거야??????","이게 만화다 ㅋㅋㅋㅋㅋ","서예지 연기 괜찮아","<U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B><U+0001F61B>"
"65","우리누나는 왜 10년전에 내말을 안들어서 ","[2차][우드잡마갤] 신곡축하드려요 설x","덮칠까 말까 덮칠까 말까","걍 이새끼는 컨셉없이 101%%%%찐","본인 백마부대 당첨 되었는데","마시멜로 레이드 입갤 ㅋㅋㅋㄱㅋ","탬탬버린 유튜브 영상 보니까 빠져드는데 나만 그러냐?","내마위 이거 샤이 작가가 그린 거지??","보통 사람은 굶어죽어도 술집 접대일은 못할것같은데","특별한 힘의 표식 영던서 나옴?"
"66","씨이발 부장님 또봐야되농ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","[2차][김사무엘갤]<U+2763>Samuel TV<U+2763><U+2B50>신곡축하<U+2B50>왔어요<U+2728>설X","여캠방에서 퀵뷰,매니지 받는법 알려준다.fact","두식마누라 현숙보지털.jpg","님들 일주일 용돈 얼마받으심","창원더시티 아이맥스도 좋아","아 양갈새끼들 갤에 발냄새 오지게 뿌리네","6","근데 송은이가 대상 받을 가능성은 없냐?","하아....하앙...하아앗...흐읏...으읏...응....하앙..."
"67","왜냐맨 칸만 보는중ㅋㅋㅋ","[2차][무소속] 신곡 축하드려요♡ (설쉬) ","옛날에 철빡이들은 이간질 별로 안하지않음?","풍선때도 한동안 저러면서 꼴깝떨다가 다 단거 후회했지","나 게이 아닌데 왜자꾸 게이라함","d열이 몰입감은 ㄹㅇ 최고인듯","원딜 상향좀","여기 소설 쓴거 올리면 평해주냐?","이게 안전한 과학적인 이유","여러분 눈꽃유동단에합류하십시오"
"68","왜냐맨 지수소녀 확정이네 ㅋㅋㅋ","[2차][이진혁마갤]<U+2600>I Like That<U+2600>신곡 축하 왔지녁<U+270C>설쉬)지니","와드왕자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","야붕이 에어팟 프로 샀다 ㅋㅋㅋㅋㅋㅋ..ㄹㅇ.jpg;","아 시발 진학사 칸수 떨어짐","표나눔 예고","어케 달어","5","이지아한테 이용당한 정우성","3차퀘 같이 하실분"
"69","룩삼 시청자 오르던거 ㄹㅇ 움짤로만들면지릴듯 ㅋㅋㅋㅋㅋ","[2차][우드잡마갤] 신곡축하드려요 설x","박와드됭?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","깜짝..... 군대가 존중받는 이유..........jpg","토르랑 VPN이랑 같은거임?","스트래스성 탈색입갤전ㅋㅋㅋ","흑화해서 돌아온 나님","밤과 바다, 미즈노와 차야마 번역할 분 업슴니까","구강성교할때 깨물어버리면 안 되는거야?","스울통직 ㅅㅅ3200"
"70","근데 왜 다지수소녀 빠냐?ㅋㅋㅋ","[2차][무소속] 신곡 축하드려요♡ (설쉬) ","오늘도 박을까 말까 박을까 말까<U+270B><U+270B>","메타몽 사물로 변신가능하면 일단 리얼돌까지는 변신 가능하다는거네","서울대에서 중앙대까지는 동급이라봄","파가놈들 ㅋㅋㅋ","대한민국 수능강사 외모 1탑","문재인 대통령, 전액 '조용한 기부'...jpg","김동완 ""부모님 이혼…화목한 가정보고 행복하게 살자는 자극 받아""","너는 사람말 무시하는게 취미냐"
"71","호산아 폭탄데리고자멸가자 ㄹㅇㅋㅋㅋㅋㅋ","[2차][프로미스나인갤]<U+2763><U+2763>연검정화 부탁<U+2763><U+2763>신곡 축하왔어요<U+2764>(설쉬)","그럼 남가는 왁할까 말까냐?","오늘 일찍 자구 내일 도서관 가야지..","knu 떴냐?????","투리 뭐야","왜 고닉트리보다 반고닉이 더 예쁨?","편의점 5분간 이거 좆같은 만화네","서예지 이짤은 진짜 개이쁘지 않냐?","ㅇㅇㅇ"
"72","ㄹㅇ 왜냐맨이 790 지수 지르면 ㅋㅋㅋㅋ","[2차][조시윤갤] <U+269C> 7시 신곡 축하 <U+269C> 왔 <U+2763>시윤<U+2763>(소바","1시간동안 박을까말까하면 개레전드지.FACT","눈사람안뜨냐","법정부담금도 못내는 대학은 가지마라.. 재단이 돈이 없다","킨더 샀다","트리 어케다냐고","검은양말 좀 좆같음 ㅡㅡ","여긴 왜 관심도없던 서예지까질임","눈사람의반대는선사람ㅋㅋ"
"73","왜냐맨 팡머만 노리는거 너무 티나네","[2차][블핑갤]♥KILL THIS LOVE♥LET'S 신곡스밍~<U+2763>설X ","ㄷ치기","4만글 채우면 야갤 접는다","남들 서울대 인증하는데","오늘 용아맥 10시 5분꺼 보는데","히오스 포지션중에 젤웃긴거=라인닦이 ㅋㅋㅋ","번통사고 났노ㅋㅋㅋ","가세연이 24일 박그네석방 소식듣고부터 문재인 덜깜","게임도 걍 좆소기업겜은 하는게 아니다"
"74","왜냐면 무조건 동수칸 데려가겠네?","[2차][야부키 나코갤]<U+2763>BLOOM*IZ<U+2763>신곡 축하왔나코(설X)","양팡 강연하는거 돈받고하는거냐??","유투 탈덕한다 jpg","대학생의 일침 레전드","트루 러브~~~~~~~~~~~","됐냐?","지금 만갤 무슨 상황이냐","이지아가 트젠같지","___"
"75","왜냐맨 한동숙 올인할듯ㅋㅋ","[2차][무소속] 신곡 축하드려요♡ (설쉬) 지니2 ","근데 ㄹㅇ 자극적인건 안볼수록 역치가 낮아져","야붕이들을 위한 겨울 패션 jpg","세종대 입학처 19년도 입결","무슨트리일까","좃댄거같다","4","김숙이 대상이라고?","공부좃같이하기싫네"
"76","룩삼 14000명 보는건 좋은데","[2차][이진혁마갤] <U+2600>I Like That<U+2600> 신곡 축하 왔지녁<U+270C>(설쉬)","박을까말까 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","근데 작년 크리스마스에 거의 주말급으로 하루종일 중계하는거 같더만","야 드디어 삼수탈출이다 인생 살만하누","베이비돌 사고 싶어","답은 양말이다","양말 ㅋㅋ","이지아는 왜 결혼 안할까","뭐임 풍선같은거 또 시작했나"
"77","왜냐맨은 지수소녀 하나만보네","[2차][블핑갤]♥KILL THIS LOVE♥LET'S 신곡스밍~<U+2763>설X ","박을까 말까 박을까 말까","닉에 이모지 되는게잇고 안되는게 잇나보네 ㄹㅇ","솔직히 일베해야 밸런스가 맞지","코창력타임 ㅋㅋㅋㅋㄱㄱㄱ","트위치 e는 씨발 너무 약한거 아니냐?","일본은 그냥 나라전체가 만화에 절어있음","세상은 왜케 순탄치 않은거야?","나 엄청나게 슬픈거. 돈없음."
"78","1등의 삶  동수칸 ","[2차][프로미스나인갤]<U+2763><U+2763>연검정화 부탁<U+2763><U+2763>신곡 축하왔어요<U+2764>(설쉬)","글쓰는것도 개씹노잼에 단톡돌려서 도배하는것도 티난다","매 맞는 아내, 매 맞는 남편 전국 도시 순위.jpg","수능도 조지고 상근도 안되고","진심 용산아맥미만잡이 맞다","양말이 더힙하고 낫네","좆사람충 새끼들 따라하는놈도없는데 존나 열내는거 애잔 ㅋㅋ","접대부한테도 매너좋은 톱스타 ","쯧즛.."
"79","유찰될줄 알았는데 ㅋㅋㅋㅋ","[2차][옹성우갤] <U+2614>우리가 만난 이야기<U+2614> 신곡축하<U+2764>설X°ㅅ°","박을까말까 박을까말까 박박박박 박어 박어~~~~~~","눈사람은 뭐임?????","이름옆에 트리랑 양말 어케다는거???","고닉비 낚시 함부러하지마셈 ㅋㅋㅋ","노란양말","신입사원이 이러면 어찌됨?????","수줌 급서예지빠질중 ","너네코딱지 이상한거 달고있는데 어케하냐"
"80","감독 3명 애들 다 관심없음 ㅋㅋ 방송용칸이랑 지수소녀 대기중","[2차][이진혁마갤]<U+2600>I Like That<U+2600>신곡 축하 왔지녁<U+270C>설쉬)멜론","복귀후 벌써 두명 파괴","이제부터 스포츠랑 인강 안 본다","양말이네","약혼자가 있당깨 ㅋㅋㅋㅋㄱㅋ","인조인간18호 진짜 매력적인캐릭터아님??","내마위 오늘도 좋았다","구강성교 받아보고 싶어","눈안내리는 눈사람"
"81","짬누 강소연 붙으면 게임 내내 오디오 ㅈㄴ 재밌을듯 나머진 유령","[2차][드림캐쳐갤]<U+2B50> Deja Vu<U+2B50>로 듴갤에서 신곡 축하왔듴 설X","박와드:박을까말까박을까말까","故송모찌 양의 추모식이 신촌역 4번출구에서 열립니다.","나처럼 구렛나루 살짝 밀고 다니는 사람 있냐","올벤처랑 피버 보고 왔는데","파랑트리 극혐","3","보통 일반인 아내는 얼굴공개 잘하지도 않는데","나도초록색트리할래"
"82","일단 왜냐맨이 마음먹으면 지수소녀 무조건 데려가네 ㅋㅋㅋ","[2차][블핑갤]♥KILL THIS LOVE♥LET'S 신곡스밍~<U+2763>설X ","케이 부러워 죽겠다","서울대 의대 정시 합격자 vs 류현진","공부나 하자 씨발","디즈니놈들아 다이소만 봐도 모르겠냐 어서 스토어 내놔라","양말떴냐?","자취방에 항상 씻으러 오는","오늘은 SBS TV 벙송 시작한 지 28년 되는 날임","뚠"
