"","국내야구","만화","기타.국내.드라마","수능","대출","프로듀스.X.101","인터넷방송","겨울왕국","리그.오브.레전드","아이돌마스터"
"12","실한놈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","갓만화 ""로롤로"" 재밌습니다.","살다살다 외국인이 지네나라서 한식하는 예능도 보고","나형과탐은 대학교 어디까지 갈수있냐?","효성이형 노보승갔구나","<U+2744><U+2744><U+2744><U+2744><U+2744><U+2744><U+2744><U+2744><U+2744><U+00A0><U+00A0> <U+26C4><U+2603><U+2744><U+2744><U+2744><U+2744><U+2744><U+2744><U+2744><U+2744><U+2744>","지코는 개통수 같은 인재있는데 남순이는","안나 폴더 정리기념 짤투척 3","솔선수범 2","왜 고닉은 보라임"
"13","572 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","요즘 페그오 다시 복귀할까 고민중임","서양에선 이런 미녀가 인기 많음?","단국대 ㅅㅃㄹㅁ","섲착 ㅅㅅㅅㅅㅅ","우산을 들어줄게 말하지 않아도 늘 곁에 있어줄게 ","이경민 존나 추한점 ㅋㅋㅋ","[저격행시] 이거 개귀여워","렉사이 정글잉 넘 어렵두","저한테 머라하지마셈 치하야는 유우를 차에던졌음"
"14","빅마마ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","세일러문 나이들고 보면 쥬피터가 제일 대꼴임","빕 기사 댓글 반응","02년생 우민화작업 들어갔네","파볼형 형의 원조는 가축이었제 ㅅㅅㅅㅅㅅㅅㅅㅅ","개줌마년 올라프 다는법 몰라서 뒤쳐지는중ㅋ","와 요즘 남가 방송 썸네일 특징 ㄹㅇ","난 프갤에서 화력모으는 곳보다 cgv가 공식적으로 광고하는 싱어롱관갈래","롤망호 4/5 막잘 ㄱㄱㄱㄱ","여기서도 좆말이냐고 아"
"15","빗마마 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","쟤 ㄹㅇ 래전드 찍는거 아니냐 ㄷㄷ","내가 내일 해먹을 토스트 스포.txt","이레즈미는 너무 별로야","에스테그랄테헤란추천드렸어요 엠시생형","석이 한조긍이랑 안친하다는 글 팩트임?","심해 아귀부대 이간질해봤자 순이형8천따리 ㅋㅋㅋ.","솔직히 1때 예배도 난 재밌게 봤는데","그리핀 기사도 안 내네?","저도 우유 존나싫어해서 색깔우유도 안마셨음"
"16","엠흑ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","난 선풍이 서강대는 갈줄알았는데","시방새 연예대상 앰씨 누가하냐?","요즘 노래를 안 들어서","함성부터 질러보자 ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ","쏘잘알 온냐들 들어와봐","배그가 시청자 총합으로 롤 이기는 날도 있네","과도한 관심이 부담스러운 엘사.jpg","옛날 롤갤이 그립네 ㅇㅇ","유동놈들 닉에 눈사람 달아놓는거 봐"
"17","일반사람 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","근데 agf인가 뭔가 가는 이유가 머임ㄹㅇ","딴거봐야지","수시로 항공대 1차도 떨어짐","러하 적중시 짖수 지섭","비추수 0도전","경민이 고정 300정도인데 인방갤에 도배되네","옷은 프잠 통일합니다","솔선수범","근데 진짜 단발머리 너무 좋은거같음"
"18","572 ㅋㅋㅋㅋㅋ","좆등분 완결남?","표씨 진짜 희귀성이네 표검색해보니 표창원 나옴","↑이딴 글은 도대체 왜쓰는거임?","일단 300들어오니 선착3명만ㄱ","슼줌마들 뒤져 그냥","속보)) 내가 박준규면 오늘 육개장 먹방 가야지~","내일 용산 4dx보기 vs 아맥보기","21","초록트리좀여제발"
"19","앰흑ㅋㅋ","본인 오늘 운전학원 갔다가 그냥 집 왔음 ㅇㅇ..","나오늘도 까질하면서 스트레스해소햇어","반고닉은 뭐임??","빵빵득이형 요즘잘나가네","슼망구 씹왕따년ㅋ","썩형 주작기 on","한스 코스프레하고 오는색기 있으면 ㄹㅇ레전드","유희왕 단톡방 ㅋㅋ","이안에는 우유 얼마나들었음"
"20","이탈리아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  ","방금 본 만화 : 제목 까먹음","아니 박성준이 온유리 이용하는거라면 나정선에겐 왜 구라침?","가형 1컷 81은 ㄹㅇ 지능 존나낮은거같은데 ㅋㅋㅋ","엠시생형픽추천드렸는데요","개줌마는 눈치도 빻았긔","아냥이 ㅅㅅㅎㄴ","썸네체 스벤이 젤 어렵네","랄로방송 재밋네?","비오는거 화풀이로 호타루 때리고싶다"
"21","빅마마 ㅋㅋㅋㅋ","제 서번트임","오늘 류준열","고닉크리스마스 마크같은거 어케함","그른네 시발끄","어머머","썩어 오늘도 도방 3시간 하면 인정해준다 ㅋㅋㅋ","큰여왕 걸크러쉬+커여움 동시 폭발한 명장면","ㄹㄹ짤좀올ㅈ려줘","아니 씹 미친 ㅋㅋㅋ 고대콩 정보 공개 했었네"
