"","스트리머","수능","남자연예인","만화","리그.오브.레전드","기타.국내.드라마","아이돌마스터","프로듀스.X.101","국내야구","판타지"
"58","플러리가 질색팔색하는이유가있긴하네 ㅋㅋ 바로 증명해줌","수능 22222뜨면 대학 어디라인 가능함?","헐 네글자도 소송건후부터 하락세 탔는데 ㄷㄷㄷ","노래짱좋아","롤망호 4/5 적폐청산 문재인 대기중","나 요즘 뿌뜻한 일 하고있어 ","씹레 카렌 3차는 담당으로도 커버가 안되네","뿡 안궁금하긔","탄수화물 중독 ㅋㅋ","판갤의 인생 망한 병신들이 의사공부소양에 대해 감나라대추나라하는게"
"59","그래서 지금 루사 안역겹냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","한양대 새내기 있노?","뿡이랑 프듀 다 망하고 미스터 트롯해서 노무 행복하긔","이번주는 켄간 나오지?","ㄴ짤녀 보지에 자지 박음","현빈 열애설질문에","연대추첨할때 하나님께 빌었음","틈새라면 가게 언제 생긴 거임?","그럼 빅뱅이 방탄보다 돈 더 벌었냐?","나도 고딩때는 텍본 읽엇지"
"60","혜요 전형적인 그세대인데 ㅋㅋㅋ","현역이든 재수생이든 일단빨리 섹스부터 해라","씹소 저승이도 처음에 사실무근 뜸ㅋㅋㅋ","ㅋㅋㅋㅋㅋ 유키오 꼬마공주유시 번역한 새기가 있네","후.. 조심해야겠다","골든디스크에 방탄 나오네 ","메구루 왤캐왤캐임","챠니자짤 보구있니","진짜 댕놈 맨날 사고치고 바닥에 똥싸고 주인물고","백설게이 진심 존나 강간하고 싶음"
"61","이런 룩삼도 선녀처럼 보이는 그 여자","↑병신같은 망상 하는중ㅋㅋㅋ","좌이티비씨 최초보도라 뿡힛측에서 흘린거 맞는거같음","념글에 볼만화가 없네","지금 골드가 예전 실버 정도 느낌아니냐?","박해진 방탄진 ","씹레 스샷찍으면서 느낀건데","컵스프 밍 파양하고 우석이 빤대","여자들은 좋아하는 남자 생기면 남눈치 보냐?","ㅋㅋ 한참 ts병 도질때 여자로 꿈꿨음."
"62","지수소녀 딜량 뭐냐?? 마스터 맞음? 디진다 던까스한테도 발리네","07년생들은 좋겠다","씹소는 서로친하긔","출동 119 구조대 주인공 너무 쓰레기임.","내여친 ㅍㅌㅊ?","류 잠실목격담","일단 공군은 가지마셈","밍이 사랑한다고 한 몇안되는 사람","아니 방탄 저거 떳다고 빠순이들 존나게 몰려오네;;;","걍 3년 전으로 되돌아가고 싶다"
"63","선호산이 던만 사왔어도 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","서버이전 7분전 입갤","김치 둘기목록: ㅚㅘㅚ 갈개 뿡","드래곤볼 전투씬","ㄴ짤녀랑 오늘 데이트함","울동네 오타쿠 찐따 남자애가 커피가게 열음","알스메는 언급조차 없구나","김김만한 1,2위가 없는데 관계성도 좋고","시간 체감 레전드","세상에 돈 만 원 아까워서 참독하는 쌉거지새끼들도 있냐"
"64","루사 언니 억지로 까지말래요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","팔뚝 ㅁㅌㅊ","뿡 군지 내년부터임??","무슨수슨양 붙어있는 만화 보는 씹덕들 자살해라","ㄴ고닉이면 꼬추 사진 보여줌","방탄이 매출이 1년에 4천억인데","사쿠야 모자장수 멋있는데ㅉ","ㄴ글쓴년 준영깅네 댕댕이","오나홀로 정액 진득하게 빼고나면 스트레스다풀림","블라우드 광화문으로 보내고 피자 뜯어먹은 너네가 나빠"
"65","이래서 고티어에서 레오나밴하는구나","야 올해 고2 30번,수능나21번수열정도면 내년가형몇번정도?","뿡힛알바년이야 뿡2애미들이야?","검은색은 노꼴인데 갈색은 꼴림","역겨움참기 lV9999","계약은 계약인데 재계약때 얘기하지","실명만 안까이면 되는데","삼진이 인라보러갈래 온냐들?","신천지........근황.........gif","본인 헬븐넷 렙7인데"
"66","근데 러너 왤캐 오디오는 다 채우는데 구식 스타일같지","시험기간 숙대생 질문받음ㅎㅎㅎㅎㅎ","뿡힛 존나 구려보여서","돈 줘도 안먹는 음식","세상에서 제일 억울해","신발 어떰?.jpg","방클걸4차 컨셉이 궁금하다","틈새라면 존나맛있음","아이즈원 공식 해체 소식은 언제 듣냐 ㅋㅋ","러시아 시발 20 올림픽, 22 월드컵 출전금지 ㅋㅋㅋㅋ"
"67","예지가 쌍베리드 겁나잘해주네","내년엔 잘될거야","폐창년들 신기있는거아냐? 나 탈뿡전에 폐창년들이 죄와죄","망가 실사화 레전드...jpg","짤녀이쁘면개추","방탄 수익이 엄청난 이유가 뭐냐면","않이;; 공군가서 시험 잘본다음에 자대 가까운곳 가면 되자나","저거보니깐 양로 라이브 생각남","쌈무좌 아이돌 글러먹은거같은데 아프리카 데뷔 언제하노 ㄹㅇ","메다카박스 하면 떠오르는 거"
"68","러너팀 4대 5터는데","★★★★★ 이 링크 타고가서 념글좀 보내주세요 ★★★★★ .","현진아 니 친구들 다 결혼해서 애 낳았는데 너는 모솔이구나","굴 요리중에 유일하게 먹을만한거","폭갈이 스태틱에터지는건 너무 에바같은데 ㄹㅇ","아이돌은 처음 부터 서로 보완된 관계로 맺어진 팀이라서","이거 스트레이 의상만 십병신이네 ㅋㅋㅋㅋ","뿡이 20억 벌면 섹스원은 얼마받아야하노","얘들아 강간은 하지마라","아 ㅋㅋㅋㅋ"
"69","딜서폿특징","이새끼들 입시 커뮤니티만 처하니까 이과면 아주 만능인줄 아는데","진짜 주제를 모르노 개인인지도는 바닥이면서","밀리시타 재밌더라","정글러의 가장 중요한 마음가짐","방탄 해체하면 자살할거야..","아 시발 버프가 1턴만 빨리 터졌어도ㅋㅋㅋㅋㅋㅋㅋㅋ","챠니자짤 돌아와","집에다 개새끼를 왜키움.","생각해보니 작년만해도 새벽갤안하고 자고일어나면"
"70","왜냐맨팀 4:5로 개처바르는데 ㅋㅋㅋ","잠시 탈갤해야겠다 미처버리겠다 ㄷ.ㄷ.ㄷ.ㄷ.ㄷ.ㄷ.ㄷ","피디 감독 소속사 대표 직원 이런 사람들 물능 몇등급이야?","북한사람들 귀엽다고 생각한 짤.jpg","요즘은 골드가기 많이 쉬워졌나봐요","방탄 개인별로 보면 별것도아닌 흔한 아이돌주제에 ㅋㅋ","180에 49키로 4급인데 편법쓰면 5급까지 가능?","50억 준대놓고 20억을 줬다고?","■■홍어 지잡대털 야붕이들와라","판갤에 의사관련 농담글 봤는데 저거 그대로 생각하는 애는 없겠지?"
"71","와 지수 6000명 이제봣네 ","이거합격맞냐고..","역시 돌판은 파이 다 쳐먹으면 망하게 되어있긔","마크)1.12.2 스카이블럭 할 사람","골플 자랭 한분 구해요 미드정글원딜서폿 중에","방탄빠들 초딩팬 다굴한거 어캐됐어","굿락어플 아직도 지원안되는거 열받네","아가리자짤 어디감","신류진<U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764>ㅋㅋㅋㅋ","썬컷 어디갔어 씨발"
"72","룩우스 너무재밌어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","ㄹㅇ 공부 스타투","뿡뜬건 ㄹㅇ뿡시역탓이 95퍼같은데","다슬기국이 좆같은 국 원탑임","골딱이년들 탱커해주면 안되겠노","누가 더 간지남? 검찰직 9급 차은우 vs 국세청 9급 서강준","코시엘니 이적 이유 ","김요한 아직도 좆본임? 언제와?","바람피는데 여친한테 잘하는 남자는 어때?","님들어캄저정신병오기시작하는데??????"
"73","플러리빼고 4명은 서로서로 팀 한번씩 해본거지??","시발 수시충 인생조졌다","재계약 앞두고 정산문제 있었으면 재계약","힛갤 저사람 꾸준하네","한화 플옵갈수 있음?","김건모 vs 이무송","사람사는세상 뭔가 사악한 비밀단체 같은 이름임","시발 삐 그러다가 평생 빅히트에 수익 주게되면 어쩔라고","이수형도 성매매 하고 방송 못나오자냐 ㅋㅋㅋ","누워서도 책볼수있게해줘"
"74","얍얍팀이 진짜 개씹좆망이라니까 얍얍나가니까","수능갤러리 이제 마지막이네 서버이전임 얘들아","여기년들 보면 진짜 사회생활 안하는 앰생년들만 있구나","만갤에 0.5슈퍼소니코가 그득하노","담원에서 뉴클이 제일 인싸래","아이돌은 심각한 착취아니면 적당히 타협하고가야지 기획력 아니면 ","그니까이걸유료돌가챠를내는거임?","서비스직 알바 놈 힘들어","트리, 양말 좆병신같네 ㅋㅋㅋㅋㅋㅋ","가히리 덕분에 BL을 알게 됨"
"75","루사 억까는 맞는데 꼴보기 싫긴 함","노베가 개정상 들으면 대가리 깨짐?","생각보다 씹소가 말년에 제일 덜 추한 것 같노","미드 반지의 제왕 캐스팅 논란.jpg","크로마3개 사기 VS 세나 사기","예능잘안나오니까 누군지모름","씹타는 의상스알 배역쓰알 다 통상으로 푸는데","뿡 아무리 그래도 역조공 마스크팩은 심했긔","나도 아이디 트리 줘","미소기 특)"
"76","벨코즈 원챔...자낳대 4회참가자 규칙...jpg","RIP 나루","꾸니 대신 꾹이 센터였으면 느금 떴어","꼭서는 왤케 재밌지","롤붕이 외모 평균...jpg","어제 김건모 사건 보다 더 큰 사건 하나 있다고 하던데","근데 군대 사단별 차이 심한가","이벤트 페이지 안 들어가져 짱나","단톡방 ...일베충 .. 난입 레전드 jpg","쿠마가와 미소기 빼박 눈팅중임"
"77","러너 반응이 플1급인데?","프린트 할건데 폰이나 태블릿으론 못함????","커지는 핥 뾔뽜뾔 빨 라지는데~","흑인좀 뒤져라","ㄴ짤녀랑 섹스","뭔가 전체적 느낌이 좀 변한 설현 근황","의상진짜 미츠미네랑 홍어빛만 병신같네","이게 다 유동씹창년들 때문이다","지드래곤 레전드지 ㅋ.ㅋ.ㅋ.ㅋ.ㅋ ","ㄹㅇ 블라우드 광화문 생중계는 원탑이긴 하지"
"78","던 요릭으로 팀 딜량 1등 캐리 ㅋㅋㅋㅋ","첫사랑 이니셜로 카톡id만들었는데 ㅆㅂ","씨죄이 망하니까 뿡도 좆대는구나","뭐가 더 비참하냐 모쏠아다, 모쏠후다 ㄷㄷㄷㄷㄷ","개좆크보 치어리더 ㅗㅜㅑ.jpg","방탄 아버지 방시혁 맞음","체리셰프 그놈도 약빨음?","요즘 간갭중이긔","내일 출근충 희소식","새로나오는 MMORPG 직업 다양성 씹지리네 ㄹㅇ;"
"79","러너 거의 혐석이급 위장티언데ㅋㅋㅋㅋ","요즘 인싸들 ㅋ 치는법","빅히트 상장 아직도 못함?","굴김치 담그는 엄마 vs 귤김치 담그는 엄마","본인 롤전적","방탄 보라해","밀리애니보고싶다","뿡 지금 방셕이랑 수익 몇대몇인데?","한남더힐 커뮤니티동 가면 ㄹㅇ 방탄볼수있음?","썬컷은 왜 죽었냐"
"80","재넌좌 100만유튜버라고 똥숙견눈치안보네 ㅋㅋㅋ","근데 지민이 스토리보면 디시앱은 왜깔려있냐??","노예계약 음악성 이거 ㅚㅘㅚ잖아","굴이 정자생성에 도움된다던데","롤망호 4/5 경제대통령 문재인 대기중","방탄 재계약 했다는 글이 있는 걸 보면 단지 회사와 정산문제 배분에 ","메구루 고화질샷 언제 떠","문어 오징어 한치 대결 해보자","차라리 끓여..jpg","엥 그거 어디감?"
"81","러너가 개잘하네  ","서버이전 8분전 입갤ㅋㅋㅋㅋ","현진아 한 달 뒤면 너 서른 셋이다 ","진짜 초딩때로 돌아가면 다따먹을텐데","본인 내년에 군대가고싶은데 그거 우선선발?그거 신청못햇는데 어떻게해야함?","방탄 뜬게 2017년 겨우 2,3년됐어","빨리 망가 그리는사람한테 경찰일루미 그리라고해봐","고닉패던년들아 일상갤 참여하라고ㅡㅡ","건모형도 지금보면 성인지감수성으로 고소당한거아니냐?","목마 개짜증남."
"82","인섹 아님 러너네","수붕이의 다이나믹한 진학사","폐리언니들 궁금한게있긔 씹소도 저랫음?","씨발과 개지랄 게이씬 촘 좋음","피갈퀴 몰왕 체력퍼뎀 중첩됨?","와이지가 배분은 잘해준댔지 않음? 문제는 마약","15사단 그대로 간다 vs 운전병 간다 vs 공군","디패 이번에 누구터질거같음","그 팬덤... 히트곡 묻자 답변","가히리 미래편 재밌었어...."
"83","팩트) 한동숙이 씹노잼인거다","여기 서울대 갤러리냐","아 상장못하는 이유가 있었구나","이런 로리가 섹스하자면 어쩔?","롤인생중 골드상위미만을 경험해본적없는데ㅁㅌㅊ냐","틀딱 건모얘기 노잼이다 방탄얘기만해라","카뱅이 atm 수수료 없던가","시발 둘기는 져서 슴한테 수익 준다고??","손흥민 그냥 우리나라 오지말고 유럽에서 계속 활동해라 ㄹㅇ","메다카 박스 쿠마가와편은 진짜 재밌긴 함...ㅇㅇ"
"84","♥♥♥루사언니 잘못한거 없어 ㅠㅠ ♥♥♥","엘비스 프레슬리 모르면 상식 의심해봐야되냐?","띠니는 뿡 둘기라기 보단 ","자고인나니까 갓만화 두개나 올라왓네","계좌랑 체크카드 만들려는데 신분증만 가지고 가면됨??","빅히트 순이익 언플에 비해 너무 좆밥이었던거","사실 나 아직도 토스가 뭐 하는건지도 모름","올해 좆이돌 멸망의 해 ","도쿄올림픽 공연 누가함?","내마위 남주인공 너무커엽다"
"85","지수팀 서로 칭찬해주고 분위기 존나 좋네 ㅆㅂ ㄷㄷ","PDF사서 쓰는것도 걸리면 좆됨?????","1년동안 몇천억벌고 정산액 50억인데 까이는것도 뿡몫","폭룡이 최고다 ","ㄴ고닉일시 본인 오늘 아다땜","불매를왜해ㅋㅋㅋ","냥냥펀치말고 장갑모델링이 또 누구있지","시발 송형준 글에 비추 박지마","이시간 프로미스...jpg","쿠마가와 마소기가 애니케릭터 이름임?"
"86","진효 오랜만에 청자 2배되서 당황했잖아 ㅋㅋㅋ","단국대 국제학부(국제경영)  회화 못 하면 오지마라","뿡이 슴 들어가려면 느금으로 들어가야하긔","빛나와 골덕 번역좀해주셈","칼바람특","그래도 김건모가 일반인 68년생 아저씨들보다는 젊어보이지?","디시 유동 = 페미니스트","ㄴ글쓴년 준영깅 딸래미","현대차 노조.. 와이파이 금지.. 발끈..","만갤 번역만화 괜찮네"
"87","♥♥♥루사언니 잘못한거 없어 ㅠㅠ ♥♥♥","세무사는 어디 취업함?","아티스트가되는길임 빅힛나오면 띵반나온다","시즌 6.9번째 탈갤 선언","진짜 정글 애미 개씹창새끼들 사람인지 아닌지 미리 말좀해줬으면좋겠네","달인 봐라  탕슈육등 중식 나온다","머구루 복장 이거잖아 ㄹㅇ","섹스원은 수익의 25프로를 11명이 나눠가짐","김건모도 ㄹㅇ 50살 넘게까지 인기 존나 많았지 않았냐","솔직히 블라우드가 최고긴 하지 ㅇㅇ"
"88","러너 4대5게임 15 4 2중ㅋㅋㅋㅋ","↑이새끼 엄마가 사랑하는 아들에게 마지막으로 남긴 유언","뿡힛이 흘린거지","쓰레기 럽코 특징 더 없냐","꼴짤 들고옴","런닝맨은 제목이 런닝맨인데 왜 뛰어다님?","린제 혼다 닮지 않았냐?","승석언냐들 조석 무인도에 갇힌거 써줘","인기는 방탄이많아도 파급력은 지드래곤이 최고긴함","유희왕에 3시간박았다."
"89","난 이번에 인섹팀이나 봐야겟다 ㅇㅇ;","ㄴ문재인이 태어나자마자 했던 말","원래 사실무근이라고 하는 쪽이 한방 먹는거긔","양심고백) 어릴때 데스노트 가루바나나 하는거 재밌게 봤었음","지금 생각해보면 중딩때는 운지드립 존나 잘만썼는데","방탄한테 제대로 정산 안해주다 걸리면","유상한정 의상가챠가 말이야 빙구야","더쿠에 로펌 내부망에 뿡 있는거 인증 떴긔","좌빨 특) 양비론 좋아함","판갤러라고 안해야겠다;;"
"90","롤 본업하는애들 이번에 러너한테 많이 빨리겟네","야 트위터에서 오프하는 여자들말고 cd 찾아봐라","남들은 전기 물끊겨서 소송거는데 진짜 배가 불렀노ㅋㅋ","아니 키이 선생님 신작이 나왓는데 아무도 번역을 안하네 ㄷㄷㄷ","skt 유망주들 유튜브 솔랭 보는데 이야 물건이다","방탄 얘기만 해라 눈새줌들아","그래서 저 쓰알 몇시에 업뎃되는거임","개줌마들 꺼져","내일 폰살건데 이거 어떰?","판갤도 많이 죽엇지 ㅇㅇ..."
"91","루사특 준비안해놓고 운없다고 징징 ㅋㅋㅋ","수시납치 특","뿡이 망해야 좆이돌판이 흥함","픽시메이드 아슈미 목소리 개웃기네 ㅋㅋㅋ","1-30 롤육성하기힘들면 도와줄께3050","방탄 이제 시작이라는거지 머가 끝나","카카오뱅크는 뭐야","엘사안나 호모갤 설국열차갤러리","최저시급 또 오르면 직장 좆같거나 현타와도 참아야겠네..","헬븐넷 같은 사이트의 뭘 믿고 가입하는 건지는 모르겠어요"
"92","끠유 그래도 머기업들이랑 방송한 짬이 있어서 그런가","시대재종 비용얼마듬??","뿡 상장도 못하잖아 ㅋㅋㅋ 쟤네 빛좋은 개살구임","디시 유동 = 페미니스트","ㄹㅇ언랭 특징 ))지가 배치보면 벌레티어 벌레티넘은 되는줄 앎","아이돌은 멤버 구성 조합과 컨셉빨이라 기획사 지분이 커보이긴함","경찰 마노 넘 꼴림","내가 쏘갈 빨았을때 크둘 쉴드친거중에 가장 오그라드는거 ㅌㅅㅌ","ㄱㄱ","그래서 매다카박스?가 먼대 틀딱들아"
"93","예지방송 잘아는사람있냐?","이과 올3 정시로 어디감?","경제가치 2조라했다고 ㄹㅇ","저 초딩땐 여자친구들 많았음","ㄴ내 아다 떼줄 사람","돈에 환장하니 콘서트랑 좆본활동에 집중하지 ㅋㅋ","근데 카뱅 뭘 믿고 쓰는거임","온냐들 오늘 밍 와꾸봐줘","우리나라사람특 )우리나라사람이 훌륭한거 하면 국뽕 ㅇㅈㄹ","풍선에게 당하고 산타에게 한번 더 당하냐고 ㅋㅋㅋ"
"94","♥♥♥루사언니 잘못한거 없어 ㅠㅠ ♥♥♥","46년생이 벌써 74세구나..","돼벨 콘서트 가는 사람들 진짜 왜 가는거긔 ","짤그림","미드챔 뭐 연습하지","수지 볍씨 머리","대딸 해주는 하루","뿡 매출이 2000억넘는데 멤버당 20억씩 줬대","주는년과 못먹는놈.jpg","메디키박스 니시오 이신거였냐 ㅋㅋㅋㅋ"
"95","재넌 존나 웃긴데? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","이머전씨가 응급이고 이머전스가 출현임?","2019 좆이돌 좆되는 한해","계좌랑 체크카드 만들려는데 신분증만 가지고 가면 됨??","롤망호 4/5 노팬티 여대생 대기중","씨제이 텐트폴 뭐야?","경찰 메구루 외견 꼴리긴한데","뿡2 이제 뭐있노 뿡은 안해주면 나갈기센데","여자가 남자 좋아할때 짓는 표정.....JPG","아 씹마 뒤늦게 나타나서 또 글 쓰는대로 념글 가겠네"
"96","사고방식이좀특이하긴해 9시시작이면 10분먼저온다는 생각자체를 안함","★ 얘들아 이거 념글좀 보내놔라 .","빠순이들 진짜 개병신같긔ㅋㅋㅋㅋ","그래서 만갤에 건대20학번 없냐고","한화 프로필 아이돌 컨셉으로 찍고 있네ㅋㅋㅋㅋㅋ","김건모는 돈도 많을텐데 왤케 꼬질꼬질하게 다닌거지","연출만 보면 촬영중에 P랑 얘기하는부분같은데","ㄴ준영이랑 딥키스","아무리봐도 섹스는 존재하지 않는거 같다","메디카박스 틀딱 맞잖아."
"97","진짜 9시에 오라고한게 뭔뜻인지모르나 ㅋㅋㅋㅋ","폴더폰 바꾸는거","잦나무 기사보고 뿡보니까 현타옴","""나는----- 「굴」이다""","짤 멋있으면 바로 치킨에다가 피자시킴","수십억짜리 집도 현금으로삿다매","러시아는 도핑도 상남자처럼 걸리게 해버리네","솔직히 섹스원에 새끼 빼고 관심없는데","야뱅 1선발곡 뭐냐?","엘레베스 ㅅㅂ아"
"98","카드쟁이들 욕했는데 알고보니 선녀","신상털리는거 방지하는법","현진아 너나 닥쳐","아만다 안씻고 찍으면 감점 큼?","마이할때 계속 뇌절하더 좆망하는데","내가 좀만 덜예뻣더라면","러시아 8강간거 진짜 약빨이엇네","유동대장이 누군데","솔직히 그그룹 존나 뜨기전엔 몬스타엑스급이엇자나","마인크래프트) 1.12.2 버전 . 마인팜, 스카이블럭 하자."
"99",NA,"지잡대 단톡 털 수붕이들와라","뿡창년들 멋관 왜하냐??ㅋㅋㅋ","사실 어제부터 나도 짤 그려주고 싶은데","정글은 남탓 별로 안하게 된다","방탄 이미 인당 40~50억짜리 집 사지 않았음????",NA,NA,"실내에서 개,고양이 키우는 새끼들 존나 더럽지않냐??","미소녀 되는 대신 아스퍼거 되기 vs 그냥 살기"
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
