"","스트리머","수능","남자연예인","만화","리그.오브.레전드","기타.국내.드라마","아이돌마스터","프로듀스.X.101","국내야구","판타지"
"13","성형이 필수인가ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋ","숭대 나왔냐?","방시혁)언플을 너무 심하게했다 지들이 경제가치 2조억 진짠줄안다","별양말미만잡 ㅅㄱ","미드 부캐가 양학하러 오면 시발","소속사거리는건ㄹㅇ 소속사알바지 아이돌이나 연옌들 소속사 옮겨도 다 잘살아","괜히 이거봐서 더 고민됨","골디 대기없이 들어가서 스탠딩 두장잡았는데 토요일이네","오늘 빤스에 좆물 지림","ㅋㅋ"
"14","잘하는팀 보다는 재밌는팀을 봐야지 ㅋㅋㅋ","야애니 제목좀 적고가봐","5700만원이 뭐냐면 ","고구마 무스 못먹는데 ㅍㅌㅊ?","측*구*무*료*중*계*무*료*분*석*커*뮤*니*티","방탄은 멤버들 매력이랑 실력 팀웍으로 잘된거라서","몇천만원 넘게 지르는 개저씨들만 그런거 지르지","솔의눈을 왜 돈주고 사먹긔","톡톡토톡톡톡톡톡 트로피카나 ㅋㅋ","헬스장으로 출격"
"15","솔직히 우승은 러너팀이다 ㅋㅋㅋㅋ","내가 얼마나 좆밥이미지였으면 팔 인증도 못믿어주냐 ㅡㅡ","쭈가 잘생겨서 뜬 거야","좆물워커는 겜 거르고 하는 새끼들때문에 접게됨","ㄴ유동이면 그림자암살자랑 뜨밤 보냄","방탄 진위","무료쥬얼이면 모를까 유상한정이라 화남","좆돌얘기 띤갤로","일본에 나타난...조커근황........jpg","ㅇ 나"
"16","좆노잼 자낳대 추첨식하다가 푸키몬 해설하니 인상 환해짐 ㅋㅋ","ㄴ 작성자 애미가 귓구녕 뚫어지도록 한말","뿡2 망하면 물빈이는 내가 먹여살릴래","강간.jpg","강제참기 LV7","엠사는 베커상 왜 없앤거냐","미쓰미네 제일좆같은의상주네","뿡 갓반인되면 내가사귈래","실근실근 공처럼 쏙 ㅋㅋ","==========(햇츙 채집중)============"
"17","지수팀 단톡방 ON ZZZZZZZZZ","후장이랑 항문 둘 중에 어떤게 야한표현이냐","슴창년들 슴 사례 대입하는거 봐","아직도 한국사람이 착각하는 세계 물가 순위.jpg","김민아 마지막 ","엑소중엔 카이가 제일 착하지않냐","인간트리 하면 크리스마스의 화신 모모카를 뺄 수 없지","라면에 노른자 터뜨리면 죽음뿐","김건모.... 정말","n"
"18","러너가 일단 롤도 오래했고 근본이 있음.","수시끝나면 진학사 어케바뀜","방탄 나가면 미국소속사로 간다는 말 있음","노로바이러스는 생굴 잘못먹으면 걸리는거 아님??","조회수에 비해 비추천이 적다는 것의 의미","근데 김혜윤 이쁘지?","의상가챠 시발 설마 유료돌이겠음? ㅋㅋ","우석이팬사에서 어때?","유키스 1곡 >>>>> 방탄소년단 전곡","저도 텍본 받았음"
"19","3시간만에 보러 가는거 보면 잉 서울인가보네","댓글알바 절대 안 쓸 거 같은 강사는 누구임?","뿡줌마들 작작 나대지ㅋㅋㅋㅋㅋㅋㅋ","""애정 행각을 보여줄 때마다 돈을 버는 능력""","요즘 미드들 다시 블루 쳐먹으러 기어오더라","문재앙이 기어이 방탄도 아작내네 ","빛의 재화 1천개 쓸까","컵스프 왜저래 또 석으로 어그로 끄네","손흥민영상을 몇개나 본거지ㅋ.ㅋ","ㄴ 쥬지가 큼"
"20","자낳대 멤버중에서 비쥬얼은 혜요가 젤 낫구만 ㅋㅋㅋㅋㅋㅋㅋㅋ","03년생 존나 귀엽드라","뿡이 망방차 망리밤 불러서 떴으면 뿡 인정했다","편순이 언냐... 한남에게 통렬한 갓침...!!","지금 미드영향력 vs 향로메타 원딜영향력","그 부부도 쓰레기 너무 티나ㅋㅋ","아 의상 저거 가챠라고?","널 사랑하지 않아 노래 있잖아","삼겹살 불판....레전드.........jpg","ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ"
"21","역시 도구는 말 잘듣은 도구가 짱이야 ㅋㅋ","수시납치당하셨다구요?","뿡 시상식 무머 보는데 쭈 춤 존나많이 늘었긔","유동 혐오를 멈춰주세요...","엄준식 4/5 롤망호 문재인과 대통합방송 대기중","방탄 정도급이면 주변에서 지랄하는 경우가 많음","공군 절대 오지마라","소속사 나가고 사전적 재기 비슷하게라도 한 거 신불 말고 못봤긔","대ㅡ박 ㅋㅋㅋ","작가가 손 안대고 지고불변 텍본 만드는법 있음"
"22","지수가 이제 소붕이 대체제같은데","상지대 얘네 너무 이과 배려 안하는거아니냐","단체군지하기 싫어서 밑밥 까는거같아","소울워커갤버전 톨죽사건나옴ㅋㅋ","탬탬버린 실물 아는사람 많은거같던데","누가 보면 방시혁이 다 기획한줄 알것네","그 훈련소에서 성적 좋으면 특수부대에서 오퍼가 오는데","탄두리 최애음료","야갤 인증 레전드 jpg","쿠미가와 미소기가 궁금한사람은 봐라"
