"","국내야구","스트리머","수능","만화","리그.오브.레전드","포켓몬스터","프로듀스.X.101","기타.국내.드라마","아이돌마스터","인터넷방송"
"1","요즘 한국드라마 아시아에서 인기 다 떨어졌냐? ","와 저게 코칭이구나.","문과수능이 왜 문이 더 좁은거임?","고닉들 가입할때 쓴 이메일도 알 수 있음?","야 콧구멍","니들 랭크까봐 병신들아 130보다 높은 사람 없쥬? ㅋㅋ","야 그만도","아 빕 시작부터 또 ㅈㄴ암주네","좋아간다","아프리카는 주작기방 안잡냐 못잡냐"
"2","허준 추하노 ㅋㅋㅋ","사신갓 소풍이 남친생겨서 칩거중이냐?","알바자리 안구해지는데 알바가 진짜 개나소나 하는거냐?","다이맥스랑 거다이맥스랑 뭐가 다른거임?","본인 키 172인데 키큰 사람은 안부러움 .jpg","자시안 창파 도감작좀 도와줄사람","조봉계나 군지해","방탄은 진짜 멤버들끼리 죽고 못살아","지금 보면 노꼴 피규어","랜딩 별비 on"
"3","만원ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","포켓몬 실력겜이긴하네 ㅇㅇ","연고대 인문은 어디가 쎔?","2010년대 최고의 러브코미디 만화.jpg","아니 솔직하게 코그모 잘크면 진짜 존나무섭지않어?","왜 제 아이앤트는 첫타부터 빗나가고","안성민 잘생겻다","아니 시벌 사람이 뭔 말이라도 해야지 맨날 정선아 정선아","지금 다시 스핀오프 연출 보는데 시발","팝읍에 BJ훈범방송서 남순이떳는데 개불쌍하다 ㅜㅜㅜ"
"4","정색 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","지금 피유팀 분위기좋은데 사신오지마라진짜ㅡㅡ","나 축하해줘","나루토 최강 간지남 ㄹㅇ...","야프리카 vs 코위치 떡밥 언제 올라옴?","얍얍이 뭔가 해서 찾아보니","스쉽 차기 ㄹㅇ","저러면서 멀어졌나","아 시발럼들 익헨 댓글봐ㅋㅋㅋㅋㅋㅋㅋ","별딩 on!   랜딩 방송"
"5","코리다이노스 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","지금 얍얍빠지고 자랭돌리는데","근데 불타는 합격이 불합격임","사스케 스사노오는 왜그리 쓰레기노","03","섀도볼 구함","나 진짜 궁금해서 그러는데 에어팟에 진짜로 귀지가 묻어?","저런 마누라 두고 바람 핀거냐","코페셜코슨 지금해도 못할수가 없는데","트위치는 진짜 보는게 정신병임"
"6","ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ정색","래퍼드하면 프하밖에 안떠오름 ㅋㅋ","서울대 의대 본과 2년간 약 4만ppt를 본다고 함....","에이스에 콜라 존맛이야","할짓없으면이거해라","염버니 5v 씀?","댓글달다보면 글 많이올라와잇네","제시카는 어떻게 됨?","아 오늘은 란제리로 해야겠다","혜린아. "
"7","철구 20년후 ㅋㅋㅋㅋㅋㅋ","차라리 인벤은 래퍼드 섭외 찔러보기라도 하지 ㅋㅋㅋㅋㅋ","고속 가채점에서 실채점","찐","롤육성하기힘들때 도와줄께2448","포케러스  주실분?","야 연당2","사불 제발회 영상으로 보니까 완전 다르다","혼다 한장컷 할매넘었네??","내년에 신규게임중에 할만한거 있음?"
"8","정색 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","동수칸 현재ㅋㅋㅋㅋㅋ...jpg","문과 11223싹다 컷에걸쳤는데","바키도는 바키 아님","고추 1cm 짧아질때마다 티어 한단계 오르면","형님들 팬텀 스킬트리좀 봐줘 제발","강행할거면 내새끼 빼줘","박성준 개새끼네 저런 부인 거르고 바람이라니","오 크롬정지하면 무한로딩 풀리네","혜린이 나만 차단한거 보소"
"9","호오ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","겆줌들 포갤 씹창내는중 ㅋㅋㅋㅋㅋㅋㅋ","진학사 추합도 짜게잡냐","목둔 사기라는데 하나도 안 강해보임","꼴리면 자러간다","목도리키텔 도감작도와주세요","씨제이 시발년들아 내새끼 놔줘","방탄 악개들은 오늘 뉴스 보고 무슨 생각할까?","념글에 국산마스가 머냐","비제이들이 염보성이랑 합방하는걸 왜 좋아하냐고?"
"10","야준좌 흔드르라 ㅋㅋㅋㅋㅋ","자낳대 마지막 퍼즐.JPG","시립대 세무 누백 1.114면 안심해도 될까..?","아니 이게 머야","서폿할맛 존나안남","드디어 여기도 인방충 토템 하나 생기는거냐?","김장김치랑 수육","손에진 현빈 틀딱용이지","다들 옆에 무언가를 달고계시온데 무엇인가요","갓성은도 운은 진짜 안 따라주네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"11","또 짤노우겠노","왜냐맨은 코치누구부르냐?","가슴보고 캐릭 맞추기","이타치가 쌤 나루토가 쌤??????????","근데 요즘 블루 정글이 먹는게 메타임?","드특 이브이 나오는 굴 위치가 어디임?","야 옴ㅁ맴매","아 방탄도 진짜 멍청하네","이쿠꼴짤","이채이가 여자 염보성아님?"
"12","뭐하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","래퍼드는 아직 공혁준 원딜을 못봐서 저런거다 ㅋㅋㅋㅋㅋㅋㅋ","면허따면 어떤느낌일까 시발","난 나루토 드립중에 이게젤조음","근데 왜 2부 왜 챌린저스 코리아임?","얍얍 없엇으면 개찐따겜일거 수만명보게해줬더니","그린티 먹고싶다","방탄 근데 빅힛에서 너무 굴리는것 같긴 하더라","립스꼴림랭킹 후레>시키>재용>미카","철구가 김봉준 견제 카드로 아마 염보성 오기전까지는"
"13","ㅇㅇㅋㅋㅋ","호산이는 아무것도 안하니까 팀분위기 올라감ㅋㅋㅋ","ㄹㅇ 적성보는 대학은 거기서거기임","딱 벌려","난 여자가 무서워","라이츄는 진짜 더블 배틀 용인가","김우석 놔달라고 조봉계 와꾸로 딸치는 장애인년아 ","Sm은 이미 끝남 재기 불가능","나기 피규어도 이제 곧 나올거다","아 내일 시험인데 여친년이 자꾸 바지 내리네 ㅡㅡ"
"14","주리 씹 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","러너 팀 감독 누구임? ","과탐개념은 몇월에 끝냄?","카킹 좆밥들 그냥 다 뒤졌으면 좋겠다","랜덤 움짤5","총어 초라기 랜턴 구함","ㅇㅇ","정선이 우울증걸렸네","검머외 마동석에게 내리는 형벌","왁싱견들 망상은 레전드급이긴해"
"15","원효 ㅋㅋㅋㅋㅋㅋ","ㄹㅇ 근본팀.jpg","조폭이 나쁜게 아니야 ㅋ","그거 그림스포 마지막.JPG","롤 지금 새로시작하면 ","팩트) 얍얍이 안하면 트위치에서 아무도 안보는 병신겜","차준호 송형준 남도현 응원영상 한림에서 올려줫긔","슈돌 장윤정네 나오는거 신의한수네 존잼","아이프로 템 지금 안쓰면 똥되나","오늘밤 딸감투척"
"16","주리다 주리 ㅋㅋ","래퍼드 업적: C9가지고 아프리카 상대로 밴픽이기고 3대0 만듬","이과 수능만점인데...념글 보내주냐?","귀멸의칼날 재밌더라ㅇㅇ...","요즘같이어려울때 우리혜지들도뭉쳐야합니다","카포에라는 뭔 특성이 좋음?","[수달찬송가] 전능하신 우리 수달신께 피아노 연주ver.","이상윤은 저 뚱한표정으로 희노애락 다 표현중ㅋㅋ","투어때 혐린이 대상 이벤좀 열려고 그랬죠","랜딩X별비) 별딩 랜탁기방송 10시아님???"
"17","주리다 주리 ㅋㅋㅋㅋ","사신갓 지금 뭐하고있음","옾챗에 센텀올리면 정지먹으려나","눈사람 꺼지셈 난 거북이할꺼임 ㅋㅋ~","탑라인이 영향력이없다고?","매칭잡는거 취소 왜못함","그냥 강행할꺼라서 시기 간 보고 잇는거 같음","이승기 아이유 만약에 듀엣하면","빅젖리사 보자마자 웃겨서 님들보라고 들고옴","김봉준 이새퀴 왜 공지도 안쓰고 방송안키냐?"
"18","주리다이노스 뭔데 ㅋㅋㅋㅋ","근데 선호산은 어디감?","누백 8퍼로 시립 이과 스나하면 노양심이냐?","하시라마는 왜 이리 강해보이지가 않지","내거대쥬지에박힐한녀구함","흥나숭구함","도깅이 ㄹㅇ","질투에 미친 긷줌년 이게 흘러내린거랜다 ㅋㅋㅋㅋㅋ","후카 코노미 리오 카오리","이상호 솔방은 좆나 노잼인듯.ㅋㅋㅋ"
"19","08년생들 ㅗㅜㅑ...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","포켓몬저거 진행이 너무 느리네","가천대 적성 보는 수붕이들 있으면 들어와보셈","?? : 저새끼 또 애니노래 듣네","풀템모데vs풀템블라디미르","팩트) 얍얍이 시청자 2만명 얍얍이가 포켓몬 살려줌","새끼가 넘 좋아서 오히려 탈덕하고싶긔","그래서 뿡1탄 해체함???","생각해보니 저 쿄코때 적폐셜 하나만하고달림","성태 메인시간대 1등 올만에보네"
"20","주리ㅋㅋㅋ","혐석이팀 사신이 코칭해야지 ㅋㅋ","님들아 진학사 고속말고 하나더사라면 굳이 뮈사야될까","토라도라 진엔딩..jpg","야 민들레.gif","vs마리에서 거다이오롱털 첨봤는데 개멋있네","우리집 빨리 김장햇음 좋겟어","이상윤 개쓰레기 저런일 겪었는데 바람에 이혼하자고?","란코 속옷이 보고 싶으시다고요?","학식들 내일기말고사 치는새기 있냐?"
"21","주리ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","레퍼드는 애초에 LCK 초대 우승팀 멤버였잔아","나 팔로우한 여수붕이 빨리 들어와라","편의점 가기 vs 안가기","남친이 요새들어 이기 민주화 이런 단어 쓰는데","대타출동 지진이나 은왕관이랑 바꿀사람","좃도온냐 머학","장나라 연기 못하네...","아 이거 1시간 적폐셜컷되나","또 그들만의 순수재미 원탑 똥보성 찬양질이네"
"22","자낳괴","애초에 저번에도 노다이아팀 개망하지 않았나?","인쇄소 전화거니까 어떤 틀딱이 화내는데 원래 불친절하냐?ㅅㄹ","나루토 읽으면서 페인 존나응원했다 ㅇㅇ","원피스 근황...jpg","팩트) 얍얍이 2팩토리 가진 금수저 니들 열등감 이해함","도깅이 머포 낼 한림갈려나","남친이 소송걸릴 때 여친은 입쳐닫고 쨔져있는 게 낫지","헬갤 이사람 말 왜이렇게 예쁘게함","아니 근데 별딩 합방왜함 ?"
"23","또 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","오늘밤 딸감투척","아... 성대 뜨거운 합격 당했다...","흥갤콘이나 만들어야겠음.. ㅇㅇ","마이로 슈퍼하드캐리햇다.... ","얍얍 그만질투하고 랭킹 130위보다 높은애 인증해보던가ㅋㅋㅋ","단호박 튀김 존맛","방탄이 드라마배우냐?  와 여기서 처 지끼고들 처자빠져들 있어 어?","립스중에 제일 안꼴리는 년은?","별비야 선택 잘해라...gif"
"24","노잼성보다 웃기노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","사신: 탑 어떠셨어요? 미드 어떠셨어요?","이 지문들 그냥 읽어서 이해 되면 수능 국어는 혼자 공부 해도 된다.","카카시는 하는 말마다 레전드네 ㅋㅋㅋ","야, 뒷좌석!","도감작 중 어래곤 구함","24살에 취업하는거 늦은거긔?","방탄은 멤버들끼리는 사이 안좋은건 아닌듯","왜 갤로그차단이아니라 ip차단이지","임아니가 진짜로 전수찬한테 마음있음??????"
"25","주리다이노스ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","흠.. 동수칸 사신때가 재밌었는데","경희대 공대가 원래 되게낮았더라","인싸용 사이다 ","그리핀갤 ㄹㅇ 좆망했네","와일드 에리어 가운데 있는 탑 같은건 도대체 뭐임","수달좋아 해달싫어","전광렬 씨 왜 이러심?ㅋ","쫑아는사춘기 원작 작가가 에케비 프로듀서란게 참","염보성 걔는 지코카피캣이라 지코 벗어날수가 없어"
"26","형범 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","호산팀 래퍼드들어오니까 확달라지네","학교에 성적구라치는애 있는데","문재앙 물가 존나 올려놨네","개념 가는법 추천시","팩트) 얍얍이가 진짜 프로대회 나가면 우승확정","턱신이는 군지나해","이상윤 : 정선아 정선아 정선아 ㅋㅋ","아 왜 좆말 완판 카운트다운할 때 기세에 휩쓸려서 쥬얼 다 털었지","밍꼬발랄정도면 연기 ㅅㅌㅊ냐?"
"27","자본주의맛 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","와 소우릎팀에 사신 코치 들어가면 레전드네","옵챗테러는 화력좋은 새벽에 하자","아 왜 난 아이콘 안주는데","롤망호 4/5 ㄱ","팩트) 얍얍이보다 잘하는 사람 이름 대라면 못 말함","어렸을때 갓김치 극혐했긔","박성준 그런데 저렇게 힘든 부인 냅두고 바람핀 거야?","고딩 디컵 혼딸 레전드","아래놈아  봉퀴 주적은 남견이야"
