"","국내야구","스트리머","수능","만화","리그.오브.레전드","포켓몬스터","프로듀스.X.101","기타.국내.드라마","아이돌마스터","인터넷방송"
"28","노무춤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","선호산 감독티어 최상위였노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.","연고대 비교점 해줘봐","카카시가 말하는 암살의 뜻은 암튼 살인이아닐까?","노무현은 정말 대단한 인물같다.","브리무음 짤","긴장돼서 심정지 올 거 같음 진심","요즘보면 장나라가 관리 제일 잘한듯","씹레 치마속의 수수깨끼...","염보 엣지데리고 2만명찍을때가 제일"
"29","ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","사신 일주일이 래퍼드 20분 코칭 급이네","넷상에선 개나소나 의대,키188 쥬지 18cm임","진짜 후반 카구야는 븅신이였음","아프리카 올타임 레전드.jpg","인방에서 포켓몬게임하는데 인방갤로 가야하는 이유는","낮처럼 동물갤열자","근데 장나라 유산한걸 이상윤한테 왜 저래??저때도 이상윤 바람폈어?","ㅅㅂ 이거뭐임","ㅋㅋㅋㅋㅋ애교용 취중진담 보소"
"30","주리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","강등팀 미드 출신 챔프 여러가지 쓴게 다인 사신에서","2개월뒤면 면허 딸 수 있는 나이 ㄷㄷㄷㄷㄷ","님들 저는 왜 트리가 아니라 야구공임?????","적팀에 탱커없으면 몰락말고 폭갈치명베인도 ㄱㅊ은것같음","어디 헤비볼 이브이 있는 인간 없나?","골차1군 올해초에 봊병크터져서 애미다빠짐","장나라 감정연기 쩐다","마동석 미국인이면 미필인가?","별딩 안키냐?"
"31","자본주의ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","롤드컵 c9보면 해설들이 항상 밴픽은 칭찬함","언제발표되노!!","푸고타 오늘 있었던 일 후로 만화글 자주쓰네","나도 고추 커지고십다","리액션혜자 포갤에 꿀팁드림","카톡 차단기능 ㄹㅇ 최강 으로 이용하는법","sm은 플라이투더스카이 때도 서로 연락 못하게 했었음","마동석 저거는 존나 보이는데","이상호는 어떻게 지금까지 군대 미룬거임?"
"32","산삼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","래퍼드 고평가라니 씨발 무리뉴가 괜히 맹구최고업적 2위라 하겠냐?","카페보면 이게 어머니 마음인듯...","선생님 좋아해요 봣는데 결말 씹창이네","원래 가붕이가 모데 이기냐?","팩트) 얍얍이 이길 새끼 포갤은 물론 포켓몬게이머 없음","남 남 도현 남 도 현 도 현 남","110.10 어그로질 좆나하더니 장나라빠였네","춤추는 코토리 모델링 움짤","염보성은 제대하고 보지코만 안 엮이면됨"
"33","시발ㅋㅋㅋ","래퍼드가 난놈이긴 하네 팀 가닥을 바로 잡네","근데 씨발 수갤이 뭔 서울대생소굴이냐?","무한츠크요미만 있으면...만붕이도 행복한 삶 사는데","ㄴ짤녀랑나랑 크리스마스에 같이손잡고다님","진솔이가 서렌쳐주면 얍얍 지지함","스쉽 차기 들어가고 싶은데 못들어가서 우는 애들도 있네","마리텔 전광렬 짤 ㅋㅋㅋㅋㅋ","아이리시맨이 왜 지루할수가잇지","별딩 on ㅋㅋ"
"34","야준좌 ㅋㅋㅋㅋㅋㅋㅋ","다시 생각해보면 아무리 래퍼드가 저렇게 해줘봐야.txt","갤러콘 확인","양말은 고닉 반고닉 그냥 다른거 없음?","랜덤 움짤 4","방송대회에서 스타팅6V이로치를 당당하게 꺼내네 ㅋㅋㅋㅋ","온냐들 강민희 왤케 싫어해","골디 중계어디서봐??","아사나기","여캠들 다남친있냐?"
"35","허준텐션뭐고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","동수칸 현재ㅋㅋㅋ......jpg","진학사 왤캐 떨어졌다 올랐다 하냐 씨발 이해가 안가네","표시되는 이모티콘이 몇개 있을까요","씹꼴리는 롤 스킨","포갤에서  얍얍까는 이유","비요뜨 가끔 사먹는데","죽은 아기 유도 분만하는거 잔인한 경험임","란코 2개 사고싶네","인벤채널에 박세준나옴 포켓몬해설로 지금"
"36","워호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","근데 돌이켜봐도 그때 사신 심하긴했지.txt","혹시 예비 샤붕이들중에 면접 때 전도 받은 사람 있으면","이타치 ㅅㅂ놈","현 브론즈2인데 다4구간 부캐듀오할사람?","최초의 포켓몬 마스터 김성태 응원하자 얍얍화이팅","키트언제오냐","헐 진통까지하고 낳은거였네","마동석이 직접 가르치는 영어가 있다는데??","그냥 보성이 전역해서 섹독돼지랑만 안엮이면 됨"
"37","ㅋㅋㅋㅋㅋㅋㅋㅋ","래퍼드오니까 씨발 그 지옥이 한순간에 바뀌네 ㅋㅋㅋ","가천대 지원자 평균 수준ㅋㅋㅋㅋㅋㅋ","바키 1부 2부는 일뽕 그렇게 안심할텐데","롤 여캐들 모자이크 한거 원본","개체 상관없이 조심로토무좀 줄사람 있니","해달 씹머지뇬 수달깅이랑 부비지말긔.","방탄한테는 아미가 있다","으음.. 괜찮게보였는데 ","솔직히 별딩은 재결합가야지 ㄹㅇ."
"38","혜자 리액션 보소ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","동수칸팀 지금ㅁ 말하는거누구임?","서울대 의대 본과 2년간 약 4만ppt를 본다고 함","카카시와 함께 야외에서 엉덩이를 흔드는 가이.gif","야짤 뭐냐고!","노보청 마하펀치 어캐 배움??","남도깅 벌써 고1이네","방탄애들 초심잃었노","ㅈㅅ한데 란코는 이미 제가 처녀막 뚫었거든요","염퀴 고닉들 수준 왜이러냐?"
"39","진심 저딴 게 재밌다고 박수치는 거 보니까 알만하네","스페이스가 애는 착해서 형들이랑 사이좋던데","계명의 vs 단국의","<U+0001F422> <U+0001F422> <U+0001F422> <U+0001F422> <U+0001F422> <U+0001F422> <U+0001F422> <U+0001F422>","아 오타쿠새끼들 죽여패고싶네","얍얍이 우승하면 포갤에 치킨 10마리 뿌린다","만두콘 처음 봤을 땐 개별로였는데 계속 쓰니까","오 장나라 연기 잘하누 ㅋㅋㅋㅋ","여기서 개미프린 드가면 완벽할거 같은데","자 까만형 사건 킹리적 갓심.."
"40","워호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","호산이란사람이 유명한사람임? 왜냐맨급?","과탐잘봣는데 물보정이면 ㅈ됏네","마이트 가이는 평생 모쏠아다일거 같음","섹스하고싶다고 발정글 싸지말고","인벤채널에 박세준나옴 포켓몬해설로 지금","굴림은 입장문보다 디비디 판매 공지가 먼저노","한지민빠 공지용 샤레기ㅋ한지민 보정 없는 실물 12.21 강남 가봐","빵집 할것도없는데 마노 감사제나 돌릴까","원피스로 알아보는 아프리카 비제이.jpg"
"41","산삼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","정작팀분위기 조추첨때랑 다르게 혐석팀이 꼴지네","엥 나는 왜 트리가 아니라 야구공이냐?","아까 초록트리 뽑으랴고 개뻘짓함ㅋㅋ","모데카이저로 우르곳할만하니?","소니아 이년 어이가 없네 ㅋㅋㅋㅋ","강민희 조승연 레스토랑 갓던거 사진떳긔","카톡 차단기능 ㄹㅇ 최강 으로 이용하는법","아섹스","거루 다음으로 정지되야할 bj"
"42","리액션ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","레퍼드가 원래 관종이라 이걸 기회로 친목, 인맥다지는거지","건물 어딘지 맞춰보셈 ㅇㅇ","카카시떡밥 개꿀잼이네 ㅋㅋ","삥뜯으려는 급식새끼들 참교육하고오는중","인방 욕하는 사람들은 인방 한번도 안보셨나봐요","온냐들 나 자랑하고 싶긔","골든글로브 시작했네","뭐임 누가 원룸용사 욕함?","별딩 백프로 재결합간다.gif"
"43","또 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","우정잉도르 VS 롤드컵진출도르인데 당연히 대우가다르지 씨발 ㅋㅋㅋㅋ","설대 지균애들 수능 성적 어느정도냐","""크큭... 사륜안....""","쉬발 방금 칼바람해서 좆나 고통받았다","병신들 얍얍이한테 열등감 가져봤자 달라지는거 없음","거북선 리더분은 도대체 왜 그러셨던걸까,,,?","직능이 뭐임?","씹레 다음 이벤 뭐지","김봉준 오늘 휴방임???"
"44","개웃기네 ㅋㅋㅋ","래퍼드가 애초에 좆밥팀 감독 개잘함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","토목쓰레기임?","카카시 레전드.jpg","강간당하려고 환장한 몸매","이로치 킬가르드 or 단칼빙 구한다~!!!!","해달싫어","아 장나라 존나 불쌍하다ㅜㅜ","앰창 씨발년들 갑자기 화나네 ","별랜딩 두줄로 알아보자"
"45","야준ㅋㅋㅋㅋㅋㅋㅋㅋ","야.. 근데 따효니는 돌겜이 맞네","시발 평생 서울대 못 갈 운명이라고 재수학원에서 못을 박네","뷰지가된 풍쟝.JPG","오늘 무무형 레전드냐?","악파 러스터캐논 레코드 구함","떴긔","마리텔 전광렬을 전하라고 부르는데 어울려ㅋㅋ","란코 꼴짤","이쯤에서 보는 혜린이 깜방 시절"
"46","혜자ㅋㅋㅋㅋㅋ","래퍼드 그래서 얍얍보다 돈 잘범???","학비 고려제외하고 시립공vs경희공","네지 첨봤을때 백안쓰는거 보고","정액도둑","5v 메타몽 구해요","도대체 씨제이가 말하는 조만간은","샤이니가 방탄 동방보다 노래 대중성 있어?","누가 또 그페얘기함","봉준이는 지금 남순이한테 진짜 잘해줘야 되는게"
"47","혜자ㅋㅋㅋㅋㅋ","재넌 존나 노빠꾸스타일이네 ㅋㅋㅋㅋㅋ","근데 코동욱이 왜 호불호가 갈리냐","이거 만화 제목 아는사람","입싸 삼키는 대신 뷰지빨기 vs 입싸 뱉는 대신 뷰지 안빨기","얍얍이가 즈그들보다 늦게 시작했는데 더 잘하니까 질투하냐?","헐......","현빈 배바지 해명해","먼가 굉장히 아사히스럽군","롤여캠들 청자 파워 개쌔네.상호 성태한테 발리네.,ㄷㄷ"
"48","허준 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ","래퍼드 말하는거가 존나 전문적인느낌","나도여친!!!!!!!!!!!!!!!!","신안을 놀러왔다가 몸이 변화해버린 여성.jpg","ㄴ 좆냥이일시 518은 민주화","진솔아 포갤하니?","남도현 내일 한림소집 꼭가시긔 오늘밤에 라면먹지말고","한드엔 웬 틀딱들밖에 없냐","아냐국에... 새로 들어온 이 사람 누구임..?","근데 합방소식을  굳이 오늘?"
"49","급발진 ㅋㅋㅋㅋ","갤에 똥숙견없다고 발작을 하더만 중계달리고잇내","눈사람 입갤","안드로이드 망가 이거 개웃기네ㅋㅋㅋㅋ","맥도날드: 감자튀김 전문 판매점. 롯데리아: 아이스크림 가게","가디안 실전에서 쓸만해?","대휘랑 조깅이가 조아","ㅇ박성준 왜 차장으로 떨어졌어?","마동석 생각보다 영어 잘하네","거발놈 드디어 정지 당했구나 ㅋㅋㅋㅋㅋㅋㅋㅋ"
"50","이잉ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","기분나빠지면 모쏠아다인 만화","하앙","나루토는 스핀오프도 재밌음","이정도면 1인분 하는거냐 ??","포갤 리액션혜자노","스윙 브이앱 켜라고 하면 키는데 아니냐","지금 vip에서 나이 많아서 임신하면 저렇다고 한 사람 긷줌 반영한 듯","아 유튜브 밴스드 개좆같은어플 또 무현로딩 걸리네","염퀴들 서로 닉언급에 ㅈ목하는거봐 ㅋㅋㅋㅋ."
"51","혜자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","사신 아까 지수소녀방에 있던데 ㅋㅋㅋㅋ","문과 설대 정시 누백이 0.2라는데 ㄹㅇ?","만능 디씨콘 소개시켜드림","오른도 왕귀챔이지?","한카리아스 완육 한마리 나눔한다","비요뜨 먹고싶다","근데 김건모 기사 내용이 너무 적나라한거 아니냐","속보)라팜으로 전시관리인 융합체 먹음","왤케 커엽지"
"52","광구 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ","포켓몬방송 먼재미로 보는거임??","쥬지 길ㅇㅣ 18 ㅋㅋㅋㅋ 지랄말고","1~42 사이의 숫자 하나만 골라줘","랜덤 움짤 3","혼란한 갤에 야짤투척","황윤성 카페 목격","그룹은 그룹으로 있을때 제일 빛난다는 걸 방탄이 알아야 돼","아그냥 적폐셜해야겟다","임아니 살짝 마음있는거같은데?"
